Language,English,Russian
STR_CFM_SettingsCategory,"CFM Camera System Settings","CFM Налаштування системи камер"
STR_CFM_AllUavsFeedByDefault,"All UAVs feed by default","Усі БПЛА транслюють за замовчуванням"
STR_CFM_DESC_AllUavsFeedByDefault,"All UAVs feed by default","Усі БПЛА транслюють за замовчуванням"
STR_CFM_PipSettings,"PIP Settings","Налаштування PIP"
STR_CFM_DESC_PipSettings,"PIP size and position settings: [size (number or [sizeX, sizeY]), posX, posY]","Розмір і позиція PIP: [розмір (число або [sizeX, sizeY]), posX, posY]"
STR_CFM_UseScrollMenu,"Use scroll menu","Використовувати меню дій"
STR_CFM_DESC_UseScrollMenu,"Use scroll menu for connection","Використовувати меню дій для підключення"
STR_CFM_CanFullscreen,"Can fullscreen","Дозволити повний екран"
STR_CFM_DESC_CanFullscreen,"Viewers can enter fullscreen","Глядачі можуть переходити у повноекранний режим"
STR_CFM_OptimizeByDistance,"Optimize by Distance","Оптимізація за відстанню"
STR_CFM_DESC_OptimizeByDistance,"Distance to monitor threshold for optimizing PIP settings. -1 for unlimited","Поріг відстані до монітора для оптимізації PIP. -1 без обмеження"
STR_CFM_ShowOperatorGrid,"Show operator map grid position","Показувати координати оператора на мапі"
STR_CFM_DESC_ShowOperatorGrid,"Show operator map grid position","Показувати координати оператора на мапі"
STR_CFM_ShowOperatorDistance,"Show operator distance to monitor","Показувати відстань від оператора до монітора"
STR_CFM_DESC_ShowOperatorDistance,"Show operator distance to monitor","Показувати відстань від оператора до монітора"
STR_CFM_AllHandMonitorsFullscreen,"All hand monitors are fullscreen displays","Усі портативні монітори відкриваються на весь екран"
STR_CFM_DESC_AllHandMonitorsFullscreen,"All hand monitors are fullscreen displays","Усі портативні монітори відкриваються на весь екран"
STR_CFM_FullscreenIsPip,"Fullscreen is PIP","Повний екран як PIP"
STR_CFM_DESC_FullscreenIsPip,"Fullscreen is Picture In Picture window","Повноекранний режим є вікном Picture In Picture"
STR_CFM_CameraMoveSensitivity,"Camera Move Sensitivity","Чутливість руху камери"
STR_CFM_DESC_CameraMoveSensitivity,"Sensitivity of camera movement","Чутливість руху камери"
STR_CFM_CameraRotationTightness,"Camera Rotation Tightness","Жорсткість обертання камери"
STR_CFM_DESC_CameraRotationTightness,"Tightness of camera rotation interpolation. Lower is more smooth","Жорсткість інтерполяції обертання камери. Менше значення - плавніше"
STR_CFM_CameraZoomTightness,"Camera Zoom Tightness","Жорсткість зуму камери"
STR_CFM_DESC_CameraZoomTightness,"Tightness of camera zoom interpolation. Lower is more smooth","Жорсткість інтерполяції зуму камери. Менше значення - плавніше"
STR_CFM_CanInterceptUavControl,"Can intercept UAV control","Можна перехоплювати керування БПЛА"
STR_CFM_DESC_CanInterceptUavControl,"Can intercept UAV control so if someone already controlling drone then he will be disconnected","Дозволяє перехоплювати керування БПЛА; якщо хтось уже керує дроном, його буде відключено"
STR_CFM_CanMoveUavCameras,"Can move UAV cameras","Можна рухати камери БПЛА"
STR_CFM_DESC_CanMoveUavCameras,"Can move UAV cameras via monitor","Дозволяє рухати камери БПЛА через монітор"
STR_CFM_CanInterceptMoveUavCameras,"Can intercept move UAV cameras","Можна рухати камери керованого БПЛА"
STR_CFM_DESC_CanInterceptMoveUavCameras,"Can move UAV cameras via monitor even if drone turret is controlled by other player","Дозволяє рухати камери БПЛА через монітор, навіть якщо турель контролює інший гравець"
STR_CFM_CanHackUav,"Can hack UAV","Можна зламувати БПЛА"
STR_CFM_DESC_CanHackUav,"Can hack UAV if using other side monitor","Дозволяє зламувати БПЛА при використанні монітора іншої сторони"
STR_CFM_CanChangeZoomOnUav,"Can change zoom on UAV","Можна змінювати зум БПЛА"
STR_CFM_DESC_CanChangeZoomOnUav,"Can change zoom on UAV","Можна змінювати зум БПЛА"
STR_CFM_MavicShowGrenadeDropMessage,"Mavic: Show grenade drop message","Mavic: показувати повідомлення скидання гранати"
STR_CFM_DESC_MavicShowGrenadeDropMessage,"Show grenade drop message for Mavic drones","Показувати повідомлення про скидання гранати для дронів Mavic"
STR_CFM_UseR2tSystem,"Use R2T system","Використовувати систему R2T"
STR_CFM_DESC_UseR2tSystem,"Use clear R2T system no UI interfaces and no visual effects","Використовувати чисту систему R2T без UI-інтерфейсів і візуальних ефектів"
STR_CFM_ExitFullscreenMode,"Exit Fullscreen Mode","Вийти з повноекранного режиму"
STR_CFM_ZoomIn,"Zoom In","Збільшити"
STR_CFM_ZoomOut,"Zoom Out","Зменшити"
STR_CFM_ResetZoom,"Reset Zoom","Скинути зум"
STR_CFM_UseOperatorZoom,"Use operator zoom","Використати зум оператора"
STR_CFM_TakeUavControl,"Take UAV control","Взяти керування БПЛА"
STR_CFM_SwitchTurrets,"Switch Turrets","Перемкнути турелі"
STR_CFM_DESC_SwitchTurrets,"Switch between turrets/cameras","Перемикання між турелями/камерами"
STR_CFM_SwitchTiModes,"Switch TI modes","Перемкнути режими ТІ"
STR_CFM_DESC_SwitchTiModes,"Switch Thermal Image modes","Перемикання режимів тепловізора"
STR_CFM_ToggleNvgMode,"Toggle NVG mode","Перемкнути режим ПНБ"
STR_CFM_DESC_ToggleNvgMode,"Toggle Night Vision mode","Перемикання режиму нічного бачення"
STR_CFM_DisconnectOperator,"Disconnect Operator","Відключити оператора"
STR_CFM_DESC_DisconnectOperator,"Disconnect monitor from Operator","Відключити монітор від оператора"
STR_CFM_FixResetFeed,"Fix/reset feed","Виправити/скинути трансляцію"
STR_CFM_FixResetAllMonitors,"Fix/reset feed of All monitors","Виправити/скинути трансляцію всіх моніторів"
STR_CFM_ToggleMonitorLocal,"Toggle on/off Monitor (Local)","Увімкнути/вимкнути монітор (локально)"
STR_CFM_TurnCameraUp,"Turn Camera Up","Повернути камеру вгору"
STR_CFM_TurnCameraDown,"Turn Camera Down","Повернути камеру вниз"
STR_CFM_TurnCameraRight,"Turn Camera Right","Повернути камеру праворуч"
STR_CFM_TurnCameraLeft,"Turn Camera Left","Повернути камеру ліворуч"
STR_CFM_NoActiveCameras,"No active cameras!","Немає активних камер!"
STR_CFM_CloseMenu,"Close Menu","Закрити меню"
STR_CFM_Connect,"Connect","Підключити"
STR_CFM_CameraSystemMenu,"Camera System Menu","Меню системи камер"
STR_CFM_HandTabletCameraSystemMenu,"Hand Tablet Camera System Menu","Меню системи камер планшета"
STR_CFM_CheckForNewOperators,"Check for new operators","Перевірити нових операторів"
STR_CFM_CheckForNewOpsAct,"Wait a bit","Зачекайте трохи"
STR_CFM_DisconnectCamera,"Disconnect Camera","Відключити камеру"
STR_CFM_WatchTablet,"Watch tablet","Дивитися планшет"
STR_CFM_StopWatchingTablet,"Stop Watching tablet","Припинити дивитися планшет"
STR_CFM_SwitchUav,"Switch UAV","Перемкнути БПЛА"
STR_CFM_ResetFixFeedLocal,"Reset/Fix feed (local)","Скинути/виправити трансляцію (локально)"
STR_CFM_SwitchCamera,"Switch Camera","Перемкнути камеру"
STR_CFM_TurnOffFeedLocal,"Turn off feed (local)","Вимкнути трансляцію (локально)"
